model,group,layer_1based,kind,logical_parameters,payload_bytes,tensor_count,routed_parameters,attention_parameters,shared_parameters,active_linear_parameters
Kimi-K2-Thinking,decoder,45,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,46,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,47,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,48,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,49,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,50,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,51,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,52,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,53,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,54,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,55,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,56,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,57,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,58,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,59,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,60,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,decoder,61,MLA + MoE,17059365248,9808554752,3471,16911433728,101124096,44040192,500236288.00000197
Kimi-K2-Thinking,embedding,0,,1174405120,2348810240,1,,,,
Kimi-K2-Thinking,final_norm_and_residual,0,,7168,14336,1,,,,
Kimi-K2-Thinking,output_head,0,,1174405120,2348810240,1,,,,1174405120
